delay_year,source_delay_year,scenario,panel_title,node,period,calendar_year,price
10,10,delayed,10-year delay,5,2,2035,230.11185576070264
10,10,delayed,10-year delay,6,2,2035,117.54112835466093
10,10,delayed,10-year delay,7,3,2040,430.2045921697128
10,10,delayed,10-year delay,8,3,2040,266.12398593845785
10,10,delayed,10-year delay,9,3,2040,283.3830807557364
10,10,delayed,10-year delay,10,3,2040,283.7226174792811
10,10,delayed,10-year delay,11,3,2040,148.35754759570742
10,10,delayed,10-year delay,12,3,2040,148.2824008975692
10,10,delayed,10-year delay,13,3,2040,154.96424454214403
10,10,delayed,10-year delay,14,3,2040,76.00018239944748
10,10,delayed,10-year delay,15,4,2060,241.60383983177977
10,10,delayed,10-year delay,16,4,2060,220.67899152088876
10,10,delayed,10-year delay,17,4,2060,231.58841347011924
10,10,delayed,10-year delay,18,4,2060,236.155155976014
10,10,delayed,10-year delay,19,4,2060,245.6411932784824
10,10,delayed,10-year delay,20,4,2060,116.1132087433708
10,10,delayed,10-year delay,21,4,2060,115.0104690456632
10,10,delayed,10-year delay,22,4,2060,112.74138791575486
10,10,delayed,10-year delay,23,4,2060,131.28770778398467
10,10,delayed,10-year delay,24,4,2060,129.96627348549896
10,10,delayed,10-year delay,25,4,2060,132.84942811138424
10,10,delayed,10-year delay,26,4,2060,58.79805166587616
10,10,delayed,10-year delay,27,4,2060,58.77036342631369
10,10,delayed,10-year delay,28,4,2060,61.65761619115432
10,10,delayed,10-year delay,29,4,2060,67.32997745914447
10,10,delayed,10-year delay,30,4,2060,29.626226783973273
10,10,delayed,10-year delay,31,5,2100,75.39678981583332
10,10,delayed,10-year delay,32,5,2100,75.39678981583332
10,10,delayed,10-year delay,33,5,2100,76.57512566132408
10,10,delayed,10-year delay,34,5,2100,81.84229907940912
10,10,delayed,10-year delay,35,5,2100,82.63155466371958
10,10,delayed,10-year delay,36,5,2100,81.87751037843314
10,10,delayed,10-year delay,37,5,2100,40.514841053229105
10,10,delayed,10-year delay,38,5,2100,47.94355988389902
10,10,delayed,10-year delay,39,5,2100,48.28010347980531
10,10,delayed,10-year delay,40,5,2100,46.59516981335293
10,10,delayed,10-year delay,41,5,2100,54.377450980750744
10,10,delayed,10-year delay,42,5,2100,56.255892292500185
10,10,delayed,10-year delay,43,5,2100,55.18203843093548
10,10,delayed,10-year delay,44,5,2100,57.07915125716359
10,10,delayed,10-year delay,45,5,2100,56.723284401470856
10,10,delayed,10-year delay,46,5,2100,57.630102220102714
10,10,delayed,10-year delay,47,5,2100,20.219970122529713
10,10,delayed,10-year delay,48,5,2100,20.567196730164635
10,10,delayed,10-year delay,49,5,2100,20.52337005298373
10,10,delayed,10-year delay,50,5,2100,23.890992894371816
10,10,delayed,10-year delay,51,5,2100,23.59405628664409
10,10,delayed,10-year delay,52,5,2100,24.22256559691064
10,10,delayed,10-year delay,53,5,2100,27.548712445911367
10,10,delayed,10-year delay,54,5,2100,27.185809183683062
10,10,delayed,10-year delay,55,5,2100,28.839511534985043
10,10,delayed,10-year delay,56,5,2100,30.61233783712835
10,10,delayed,10-year delay,57,5,2100,11.252030370074417
10,10,delayed,10-year delay,58,5,2100,11.253374881017526
10,10,delayed,10-year delay,59,5,2100,11.335484520462025
10,10,delayed,10-year delay,60,5,2100,13.17718379679114
10,10,delayed,10-year delay,61,5,2100,14.362415646525394
10,10,delayed,10-year delay,62,5,2100,5.186902437833942
15,15,delayed,15-year delay,0,0,2025,0.0
15,15,delayed,15-year delay,1,1,2030,0.0
15,15,delayed,15-year delay,2,1,2030,0.0
15,15,delayed,15-year delay,3,2,2035,0.0
15,15,delayed,15-year delay,4,2,2035,0.0
15,15,delayed,15-year delay,5,2,2035,0.0
15,15,delayed,15-year delay,6,2,2035,0.0
15,15,delayed,15-year delay,7,3,2040,450.6113345612307
15,15,delayed,15-year delay,8,3,2040,281.0570895538069
15,15,delayed,15-year delay,9,3,2040,296.8701006038714
15,15,delayed,15-year delay,10,3,2040,298.76912564934133
15,15,delayed,15-year delay,11,3,2040,156.52766369953227
15,15,delayed,15-year delay,12,3,2040,157.03846557924427
15,15,delayed,15-year delay,13,3,2040,160.38788460515906
15,15,delayed,15-year delay,14,3,2040,79.15698340358465
15,15,delayed,15-year delay,15,4,2060,256.6844822247366
15,15,delayed,15-year delay,16,4,2060,230.37489248517667
15,15,delayed,15-year delay,17,4,2060,241.639745033413
15,15,delayed,15-year delay,18,4,2060,245.20257373782067
15,15,delayed,15-year delay,19,4,2060,255.60593751615636
15,15,delayed,15-year delay,20,4,2060,124.56662141414672
15,15,delayed,15-year delay,21,4,2060,121.52245862525068
15,15,delayed,15-year delay,22,4,2060,119.9855337378387
15,15,delayed,15-year delay,23,4,2060,136.8398870346909
15,15,delayed,15-year delay,24,4,2060,136.13291566827718
15,15,delayed,15-year delay,25,4,2060,137.19471182495573
15,15,delayed,15-year delay,26,4,2060,62.773507767577875
15,15,delayed,15-year delay,27,4,2060,62.56251857692664
15,15,delayed,15-year delay,28,4,2060,63.088539515554814
15,15,delayed,15-year delay,29,4,2060,69.46354855162035
15,15,delayed,15-year delay,30,4,2060,30.969055265448684
15,15,delayed,15-year delay,31,5,2100,82.00827060904943
15,15,delayed,15-year delay,32,5,2100,82.00827060904943
15,15,delayed,15-year delay,33,5,2100,83.53719059607039
15,15,delayed,15-year delay,34,5,2100,89.1714510297728
15,15,delayed,15-year delay,35,5,2100,88.21716172989935
15,15,delayed,15-year delay,36,5,2100,87.50975883008272
15,15,delayed,15-year delay,37,5,2100,44.04342865052942
15,15,delayed,15-year delay,38,5,2100,51.49650120434672
15,15,delayed,15-year delay,39,5,2100,50.5042686243358
15,15,delayed,15-year delay,40,5,2100,48.30378912307317
15,15,delayed,15-year delay,41,5,2100,56.177535897025024
15,15,delayed,15-year delay,42,5,2100,57.10896690530963
15,15,delayed,15-year delay,43,5,2100,56.73101003846596
15,15,delayed,15-year delay,44,5,2100,60.4247428966014
15,15,delayed,15-year delay,45,5,2100,60.045334560503186
15,15,delayed,15-year delay,46,5,2100,60.20741337489992
15,15,delayed,15-year delay,47,5,2100,24.139688887466793
15,15,delayed,15-year delay,48,5,2100,23.987997408474556
15,15,delayed,15-year delay,49,5,2100,23.89468260087465
15,15,delayed,15-year delay,50,5,2100,24.32287641009918
15,15,delayed,15-year delay,51,5,2100,24.51145823331568
15,15,delayed,15-year delay,52,5,2100,24.40101057469827
15,15,delayed,15-year delay,53,5,2100,29.23546576674391
15,15,delayed,15-year delay,54,5,2100,29.06409678501132
15,15,delayed,15-year delay,55,5,2100,28.936312459673047
15,15,delayed,15-year delay,56,5,2100,32.2541639473424
15,15,delayed,15-year delay,57,5,2100,12.498194160796826
15,15,delayed,15-year delay,58,5,2100,12.491899882751802
15,15,delayed,15-year delay,59,5,2100,12.313005289996855
15,15,delayed,15-year delay,60,5,2100,13.281641116931928
15,15,delayed,15-year delay,61,5,2100,15.454684574752225
15,15,delayed,15-year delay,62,5,2100,5.257305267885863
