sample_index,mac_horizontal_shift,mac_vertical_shift,dwl_pct_loss,price,mitigation,mitigation_pct
mac_p092_h0p4_v75,0.4,75.0,1.32150879071277,298.2385287127224,0.2485027973846737,24.85027973846737
mac_p103_h0p45_v75,0.45,75.0,1.0552648874270942,306.2568545578213,0.2107801590272313,21.07801590272313
mac_p114_h0p5_v75,0.5,75.0,0.7988850076669248,313.5860930296484,0.1717078634694297,17.170786346942972
mac_p005_h0_v100,0.0,100.0,2.9140449054351403,241.2334827369911,0.493578993663132,49.3578993663132
mac_p016_h0p05_v100,0.05,100.0,2.7196436533751394,248.73397548674848,0.4598859436847535,45.98859436847535
mac_p027_h0p1_v100,0.1,100.0,2.507711947875908,257.6858939112737,0.4285825242284524,42.85825242284524
mac_p038_h0p15_v100,0.15,100.0,2.2876484278929152,265.4721058373487,0.3942171728157036,39.42171728157036
mac_p049_h0p2_v100,0.2,100.0,2.0465270909595605,274.09282120454463,0.3608977711142972,36.08977711142972
mac_p060_h0p25_v100,0.25,100.0,1.7818532701422525,282.08320449608726,0.3258089205314681,32.58089205314681
mac_p071_h0p3_v100,0.3,100.0,1.5310537265629052,288.9282632007717,0.2881894218407196,28.81894218407196
mac_p082_h0p35_v100,0.35,100.0,1.2823416316674658,297.172443758229,0.2526484575096958,25.264845750969577
mac_p093_h0p4_v100,0.4,100.0,1.041464596128298,304.4072300325768,0.2149538790764883,21.49538790764883
mac_p104_h0p45_v100,0.45,100.0,0.8079605290132895,312.56687408972573,0.1784280787499729,17.84280787499729
mac_p115_h0p5_v100,0.5,100.0,0.5901977756122626,318.9044149382415,0.1386135086442077,13.861350864420771
mac_p006_h0_v125,0.0,125.0,2.453566558615203,250.1259164503733,0.4515910658919081,45.15910658919081
mac_p017_h0p05_v125,0.05,125.0,2.273146084344025,258.67497151120693,0.4219604217773878,42.19604217773878
mac_p028_h0p1_v125,0.1,125.0,2.088241862642798,266.4940542839713,0.38979254182674,38.979254182674
mac_p039_h0p15_v125,0.15,125.0,1.8897869159850964,274.3554452934084,0.3570149660081566,35.70149660081566
mac_p050_h0p2_v125,0.2,125.0,1.6520801177601538,282.2355365309496,0.3236216889958523,32.36216889958523
mac_p061_h0p25_v125,0.25,125.0,1.427648326177431,288.6056539823345,0.2865988583946482,28.65988583946482
mac_p072_h0p3_v125,0.3,125.0,1.2139856373467892,296.31435638126743,0.2518034793067508,25.18034793067508
mac_p083_h0p35_v125,0.35,125.0,0.9986487403249712,304.1713075757876,0.2167735719173929,21.67735719173929
mac_p094_h0p4_v125,0.4,125.0,0.7944308406552081,312.3184157101333,0.1817722103156712,18.17722103156712
mac_p105_h0p45_v125,0.45,125.0,0.5891052756616759,318.15816182001413,0.1422142646585436,14.221426465854359
