delay_year,partial_mitigation_pct,dwl_phi,dwl_pct,dwl_billions,dwl_phi_loss,dwl_pct_loss,dwl_billions_loss,utility_loss_raw,utility_loss_loss,share_of_loss_avoided,share_of_dwl_avoided,welfare_loss,reentry_price_increase,m_partial_period0,residual_emissions_delay_window_gtco2,dwl_trillions_loss,share_of_dwl_avoided_pct,share_of_loss_avoided_pct,marginal_dwl_avoided_pp
10,25,0.1479125207899893,14.791252078998935,8838.344060519901,0.1479125207899893,14.791252078998935,8838.344060519901,0.0624547313206491,0.0624547313206491,0.3939149510674551,0.4280656098407516,0.0624547313206491,17.555056096378365,0.25,324.14700508117676,8.838344060519901,42.80656098407516,39.39149510674551,1.8417376496934441
10,30,0.1294951442930549,12.949514429305491,7730.4402605950045,0.1294951442930549,12.949514429305491,7730.4402605950045,0.0552416886653261,0.0552416886653261,0.4639131276388845,0.4992802097870489,0.0552416886653261,8.512019789928445,0.3,302.53722190856934,7.730440260595005,49.92802097870489,46.39131276388845,1.8485925387801068
10,35,0.1110092189052538,11.100921890525385,6618.889474583664,0.1110092189052538,11.100921890525385,6618.889474583664,0.0478558696751996,0.0478558696751996,0.5355879930875125,0.5707598682144301,0.0478558696751996,8.341741477211684,0.35,280.9274387359619,6.618889474583664,57.07598682144302,53.55879930875125,1.68917826083214
10,40,0.0941174362969324,9.411743629693245,5603.353019420495,0.0941174362969324,9.411743629693245,5603.353019420495,0.0409724630905472,0.0409724630905472,0.6023872527827072,0.6360754434828002,0.0409724630905472,8.947575198107728,0.4,259.3176555633545,5.603353019420495,63.60754434828002,60.23872527827072,1.7370355128773545
10,45,0.0767470811681589,7.67470811681589,4560.915964877827,0.0767470811681589,7.67470811681589,4560.915964877827,0.0337539805596307,0.0337539805596307,0.6724382200266052,0.7032415185004133,0.0337539805596307,13.909965514493422,0.45,237.70787239074707,4.560915964877827,70.32415185004133,67.24382200266052,1.5794051187813185
10,50,0.0609530299803457,6.095302998034572,3614.432712000319,0.0609530299803457,6.095302998034572,3614.432712000319,0.027064525598945,0.027064525598945,0.7373552975873692,0.7643124879220718,0.027064525598945,12.122731538140869,0.5,216.09808921813965,3.614432712000319,76.43124879220719,73.73552975873692,1.236278309421711
10,55,0.0485902468861286,4.859024688612861,2873.8908319573916,0.0485902468861286,4.859024688612861,2873.8908319573916,0.0217432883728712,0.0217432883728712,0.7889946571098448,0.8121157487406832,0.0217432883728712,8.45076616589759,0.55,194.48830604553177,2.8738908319573917,81.21157487406832,78.89946571098449,1.1175035354120966
10,60,0.0374152115320076,3.741521153200764,2206.1945930149245,0.0374152115320076,3.741521153200764,2206.1945930149245,0.0168634632851159,0.0168634632851159,0.8363503812408136,0.8553263369730473,0.0168634632851159,11.000302227824136,0.6,172.8785228729248,2.2061945930149247,85.53263369730473,83.63503812408136,1.0835860870067013
10,65,0.0265793506619406,2.657935066194063,1561.6571394455846,0.0265793506619406,2.657935066194063,1561.6571394455846,0.012065714298405,0.012065714298405,0.8829096069053605,0.8972254368293163,0.012065714298405,7.869361884470152,0.65,151.26850128173828,1.5616571394455845,89.72254368293163,88.29096069053605,0.9512339850368448
10,70,0.0170670108115721,1.706701081157218,998.5849953558304,0.0170670108115721,1.706701081157218,998.5849953558304,0.0077985115845073,0.0077985115845073,0.9243202048051335,0.934006868598926,0.0077985115845073,6.425246499622062,0.7,129.65871810913086,0.9985849953558305,93.4006868598926,92.43202048051336,0.524757206670301
