frontier_spec,frontier_label,delay_year,mv_dwl_pct,mv_dwl_trillions,mv_utility_loss_pct,mv_extra_emissions_gtco2,mv_reentry_price_increase
high_ra,High RA (15),14,1.1941995283465463,0.7149321108795839,0.03399938914952494,38.51222991943365,0.0672617990078983
high_ra,High RA (15),15,1.2343230956342364,0.7389529097294432,0.03438352765001207,32.73916244506836,0.0002426828484374255
high_ra,High RA (15),16,1.360422275765293,0.814444777621997,0.03705305627583566,32.189369201660156,0.20632579341318547
high_ra,High RA (15),17,1.2813089076254052,0.7670819325190834,0.03412642008231892,40.19737243652344,5.268580768512209
high_ra,High RA (15),18,1.4689310244188718,0.879405771896721,0.03823041232468816,28.235197067260742,-0.07387585303027322
high_ra,High RA (15),19,1.40291813933327,0.8398858004352938,0.03568229974630577,34.355878829956055,0.11598658860003752
high_ra,High RA (15),20,1.6062817001296352,0.9616335790476729,0.03987996980085318,41.6111946105957,-0.20057912723291338
low_eis,Low EIS (0.55),0,0.0,0.0,0.0,0.0,0.0
low_eis,Low EIS (0.55),1,0.0892762987009506,0.05344709252243574,0.007565697207989429,14.824628829956,-1.3519416199180938
low_eis,Low EIS (0.55),2,0.09857883782821482,0.05901624891291201,0.0071460500970408,14.686107635498102,0.4245748878419206
low_eis,Low EIS (0.55),3,0.06959934641767057,0.04166708030702318,0.007090059153207,14.214992523193295,-0.05407936226310278
low_eis,Low EIS (0.55),4,0.024765012612970816,0.014826084187007676,0.0073376528596923,16.027688980102603,0.06177846983801061
low_eis,Low EIS (0.55),5,0.07337491870308432,0.04392740431462566,0.0074484086726799015,15.856742858886705,0.5510923291151072
low_eis,Low EIS (0.55),6,0.07411196383080476,0.04436865154045927,0.0075672018685006975,15.02847671508789,0.05479056031640561
low_eis,Low EIS (0.55),7,0.07300762410300915,0.04370751584748661,0.007436319517330897,14.430284500122,-0.1736642868938817
low_eis,Low EIS (0.55),8,0.0731563664246424,0.04379656349778127,0.0074314424974796026,15.348672866821303,0.36437214402071305
low_eis,Low EIS (0.55),9,0.07919133074008589,0.04740951901711299,0.008022977431461797,15.555620193481488,-0.4449359968976552
low_eis,Low EIS (0.55),10,0.08033363949740568,0.04809338565058724,0.00811699007937021,19.702672958374023,0.32092919516572493
low_eis,Low EIS (0.55),11,0.07707129107562305,0.04614031366533955,0.007768042628252897,15.525817871093778,0.13464082474933292
low_eis,Low EIS (0.55),12,0.08013965867231021,0.047977255039693745,0.008051534800802798,16.921758651733313,0.30372338733309334
low_eis,Low EIS (0.55),13,0.07472478817871053,0.04473553144138598,0.007488612470767195,14.621973037719812,-0.2010467665048239
low_eis,Low EIS (0.55),14,0.08472014863189825,0.050719459569120384,0.008470223617205508,17.545700073242188,-0.2662111382789476
low_eis,Low EIS (0.55),15,0.09010206536349008,0.05394145471998302,0.008977083508088401,15.931129455566406,-0.012956772935567074
low_eis,Low EIS (0.55),16,0.07424970991800506,0.044451116068831564,0.007376127380551989,18.293380737304688,0.6883649865715284
low_eis,Low EIS (0.55),17,0.08848149531262539,0.052971267125873855,0.008766591608567215,17.133474349975586,0.21979128203282983
low_eis,Low EIS (0.55),18,0.08603032838633462,0.051503825627920885,0.008494115645903688,18.141984939575195,-0.037892763758584636
low_eis,Low EIS (0.55),19,0.09455992554789372,0.0566102444121499,0.00931150638243719,16.178369522094727,0.9556637005079267
low_eis,Low EIS (0.55),20,0.08032012975129144,0.04808529776319692,0.007880893125317423,16.06917381286621,-0.14777886812318997
no_endogenous_learning,No endogenous learning,0,0.0,0.0,0.0,0.0,0.0
no_endogenous_learning,No endogenous learning,1,1.1879714367514793,0.7112203202156395,0.03703817945734544,34.9142551422119,-1.4142440776508636
no_endogenous_learning,No endogenous learning,2,0.8086277233540473,0.48410161907675686,0.0200059214433118,30.9751033782959,0.5951233553046507
no_endogenous_learning,No endogenous learning,3,0.5440686110133481,0.32571786481414544,0.020550916910130994,30.5047035217285,-0.2823319964921893
no_endogenous_learning,No endogenous learning,4,0.1195830456208764,0.07159084993905096,0.020562443001453504,29.3426513671875,1.8829243641203277
no_endogenous_learning,No endogenous learning,5,0.6640896285343443,0.39757091563975355,0.022502873125605102,30.419111251830998,-0.47932528899690396
no_endogenous_learning,No endogenous learning,6,0.6230469504503611,0.3729998722067014,0.021628165032486893,34.060716629028406,1.210475425327843
no_endogenous_learning,No endogenous learning,7,0.6247303696691189,0.3740076857479009,0.021394470143156402,30.984878540039006,-0.6244339947655249
no_endogenous_learning,No endogenous learning,8,0.6859158594051262,0.41063763768962636,0.023162731875139092,30.492782592773494,0.6796272870277562
no_endogenous_learning,No endogenous learning,9,0.693830515500272,0.41537590935585555,0.023090705329054412,29.177188873291016,2.44274400877336
no_endogenous_learning,No endogenous learning,10,0.7138554423688355,0.42736424371416337,0.023410623747867704,34.42811965942377,-3.346481164601727
no_endogenous_learning,No endogenous learning,11,0.6810043720809862,0.40769727477969564,0.0220195710502456,33.07437896728521,0.19154702608025875
no_endogenous_learning,No endogenous learning,12,0.7778072130312834,0.4656502866315435,0.02477930013379781,33.875465393066406,5.050234082580317
no_endogenous_learning,No endogenous learning,13,0.7964335952467589,0.47680135346691355,0.02497620838277259,31.817436218261662,-1.5572100999696374
no_endogenous_learning,No endogenous learning,14,0.7705077402907978,0.4612803071341558,0.0238015090173212,29.83403205871582,-0.7401352109361028
no_endogenous_learning,No endogenous learning,15,0.7520591023676264,0.4502356505753573,0.022887964558415408,29.800891876220703,1.9477070310697684
no_endogenous_learning,No endogenous learning,16,0.8393625918656618,0.5025016802901785,0.02515998228517391,36.652803421020565,3.4039552656807075
no_endogenous_learning,No endogenous learning,17,0.843825715074253,0.5051736208000284,0.024900682471272584,35.95137596130371,-2.720533112049253
no_endogenous_learning,No endogenous learning,18,0.9180080006977747,0.5495843719281321,0.026647176684539475,29.80494499206543,1.4341996575606402
no_endogenous_learning,No endogenous learning,19,0.90374413269112,0.5410450139554932,0.025812507652831218,32.70268440246582,1.976924272662048
no_endogenous_learning,No endogenous learning,20,0.9667321395760027,0.5787540798639839,0.027146840285233786,32.40370750427246,-1.2519488651019248
