delay_year,tree_spec,dwl_phi_mean,dwl_phi_std,dwl_phi_count,dwl_pct_mean,dwl_pct_std,dwl_pct_count,dwl_billions_mean,dwl_billions_std,dwl_billions_count,dwl_phi_loss_mean,dwl_phi_loss_std,dwl_phi_loss_count,dwl_pct_loss_mean,dwl_pct_loss_std,dwl_pct_loss_count,dwl_billions_loss_mean,dwl_billions_loss_std,dwl_billions_loss_count,deadweight_per_ton_mean,deadweight_per_ton_std,deadweight_per_ton_count,carbon_price_optimal_mean,carbon_price_optimal_std,carbon_price_optimal_count,carbon_price_delayed_mean,carbon_price_delayed_std,carbon_price_delayed_count,m_optimal_period0_mean,m_optimal_period0_std,m_optimal_period0_count,m_delayed_period0_mean,m_delayed_period0_std,m_delayed_period0_count,mitigation_foregone_mean,mitigation_foregone_std,mitigation_foregone_count,utility_loss_mean,utility_loss_std,utility_loss_count,welfare_loss_mean,welfare_loss_std,welfare_loss_count,extra_cumulative_emissions_mean,extra_cumulative_emissions_std,extra_cumulative_emissions_count,reentry_price_increase_mean,reentry_price_increase_std,reentry_price_increase_count,reentry_price_pct_increase_mean,reentry_price_pct_increase_std,reentry_price_pct_increase_count,reentry_price_annualized_increase_mean,reentry_price_annualized_increase_std,reentry_price_annualized_increase_count,peak_catchup_mitigation_mean,peak_catchup_mitigation_std,peak_catchup_mitigation_count,ppm_at_reentry_mean,ppm_at_reentry_std,ppm_at_reentry_count,temperature_at_reentry_mean,temperature_at_reentry_std,temperature_at_reentry_count,tree_label,tree_short_label,robustness_family,tech_chg,tech_scale,dam_func,tip_on,d_unc,t_unc,ra,eis,pref
15,back_loaded_decisions,0.372020633616296,,1,37.2020633616296,,1,22271.780432731604,,1,0.372020633616296,,1,37.2020633616296,,1,22271.780432731604,,1,610.8243814265863,,1,200.01840946466535,,1,0.0,,1,0.8668635855323109,,1,0.0,,1,0.8668635855323109,,1,0.1404510455130712,,1,0.1404510455130712,,1,0.5656192302703857,,1,23.947852105551817,,1,15.719932165001834,,1,0.9781038576399448,,1,0.6704545765440055,,1,481.5023082111194,,1,1.758894510269165,,1,back_loaded_decisions,back_loaded_decisions,tree,,,,,,,,,
15,default,0.3947875306089081,,1,39.47875306089082,,1,23634.76754993829,,1,0.3947875306089081,,1,39.47875306089082,,1,23634.76754993829,,1,634.9296888152093,,1,210.0614740017414,,1,0.0,,1,0.8849890308530837,,1,0.0,,1,0.8849890308530837,,1,0.1474272723621936,,1,0.1474272723621936,,1,0.5774459838867188,,1,27.40822603116783,,1,17.54952817984592,,1,1.083761103323977,,1,0.6683580723978874,,1,481.5023082111194,,1,1.758894510269165,,1,"Baseline tree (2025, 2030, 2060, ...)",Baseline tree,tree,,,,,,,,,
15,front_loaded_decisions,0.3834795578659187,,1,38.347955786591875,,1,22957.79250255171,,1,0.3834795578659187,,1,38.347955786591875,,1,22957.79250255171,,1,614.9740049138813,,1,211.506980932172,,1,0.0,,1,0.8875351362327365,,1,0.0,,1,0.8875351362327365,,1,0.1440996226475022,,1,0.1440996226475022,,1,0.5791072845458984,,1,34.1923987543131,,1,21.767180291954485,,1,1.32159472225013,,1,0.641889660246054,,1,481.5023082111194,,1,1.758894510269165,,1,Front-loaded decisions,Front-loaded,tree,,,,,,,,,
15,higher_fragility_weight,1.9531520964223752,,1,195.31520964223753,,1,116929.4676491382,,1,1.9531520964223752,,1,195.31520964223753,,1,116929.4676491382,,1,2780.578426401936,,1,284.68839056160743,,1,0.0,,1,0.999772095007908,,1,0.0,,1,0.999772095007908,,1,0.4255411268916731,,1,0.4255411268916731,,1,1.5089103610874428,,1,83.66277165988674,,1,19.0168507250669,,1,1.1673941397635224,,1,1.74329952389962,,1,1113.749114247717,,1,4.068448207746756,,1,Higher fragility weight,Higher fragility,tree,,,,,,,,,
15,lower_fragility_weight,0.1094760476475765,,1,10.947604764757658,,1,6554.008771365324,,1,0.1094760476475765,,1,10.947604764757658,,1,6554.008771365324,,1,237.5785942334856,,1,109.89539216539414,,1,0.0,,1,0.6558611365684528,,1,0.0,,1,0.6558611365684528,,1,0.0481230449702145,,1,0.0481230449702145,,1,0.116607994361914,,1,3.2009293645466848,,1,13.938114023391416,,1,0.8736963438423118,,1,0.1150959662051671,,1,131.2022445755042,,1,0.4792726925364248,,1,lower_fragility_weight,lower_fragility_weight,tree,,,,,,,,,
5,,0.1537187194632575,,1,15.371871946325754,,1,9202.687321417356,,1,0.1537187194632575,,1,15.371871946325754,,1,9202.687321417356,,1,219.24390354662185,,1,262.7015928899181,,1,0.0,,1,0.9979282743430864,,1,0.0,,1,0.9979282743430864,,1,0.0642173981219933,,1,0.0642173981219933,,1,0.2134015560150146,,1,8.387468758015672,,1,4.611307753938494,,1,0.9057062110184644,,1,0.6865994920468028,,1,447.7808445891872,,1,1.5307991695404053,,1,,,technology,0.0,0.0,,,,,,,
5,,0.1687605642513871,,1,16.876056425138714,,1,10103.19829890787,,1,0.1687605642513871,,1,16.876056425138714,,1,10103.19829890787,,1,242.67252877719767,,1,257.1896213037783,,1,0.0,,1,0.9898068354563228,,1,0.0,,1,0.9898068354563228,,1,0.0701821825517896,,1,0.0701821825517896,,1,0.2116646766662597,,1,16.516513883792925,,1,8.738776496958502,,1,1.6896818115582857,,1,0.7402427404952848,,1,447.7808445891872,,1,1.5307991695404053,,1,,,technology,0.0,1.5,,,,,,,
5,,0.1734352513688394,,1,17.34352513688394,,1,10383.058058458191,,1,0.1734352513688394,,1,17.34352513688394,,1,10383.058058458191,,1,249.6949940342318,,1,256.3902560576728,,1,0.0,,1,0.988615998298081,,1,0.0,,1,0.988615998298081,,1,0.0721686125340674,,1,0.0721686125340674,,1,0.2114100456237793,,1,19.45623938631752,,1,10.295321722447207,,1,1.9791571807212585,,1,0.7795870020565314,,1,447.7808445891872,,1,1.5307991695404053,,1,,,technology,0.0,3.0,,,,,,,
5,,0.1295662815745845,,1,12.956628157458455,,1,7756.751948578538,,1,0.1295662815745845,,1,12.956628157458455,,1,7756.751948578538,,1,195.96774228893833,,1,243.9822495137872,,1,0.0,,1,0.9410387378441404,,1,0.0,,1,0.9410387378441404,,1,0.0550558724059548,,1,0.0550558724059548,,1,0.2012360095977783,,1,6.517509394966339,,1,3.783998124867997,,1,0.7455980872581591,,1,0.7182479969121616,,1,447.7808445891872,,1,1.5307991695404053,,1,,,technology,1.5,0.0,,,,,,,
5,,0.143091679562641,,1,14.309167956264105,,1,8566.477719235654,,1,0.143091679562641,,1,14.309167956264105,,1,8566.477719235654,,1,217.17562350527797,,1,241.888161943934,,1,0.0,,1,0.9377852548887632,,1,0.0,,1,0.9377852548887632,,1,0.0605303366112863,,1,0.0605303366112863,,1,0.2005403041839599,,1,11.408261307978876,,1,6.438501100618184,,1,1.2557628669432883,,1,0.7759095535751211,,1,447.7808445891872,,1,1.5307991695404053,,1,,,technology,1.5,1.5,,,,,,,
5,,0.1454295262151675,,1,14.54295262151675,,1,8706.437717755975,,1,0.1454295262151675,,1,14.54295262151675,,1,8706.437717755975,,1,220.13436145539816,,1,243.5031324375192,,1,0.0,,1,0.9402965586719728,,1,0.0,,1,0.9402965586719728,,1,0.0615421601722019,,1,0.0615421601722019,,1,0.2010772228240966,,1,18.50372505546241,,1,10.473674467511808,,1,2.012116891483484,,1,0.8170006980829922,,1,447.7808445891872,,1,1.5307991695404053,,1,,,technology,1.5,3.0,,,,,,,
5,,0.1182659146037276,,1,11.82659146037276,,1,7080.232236384827,,1,0.1182659146037276,,1,11.82659146037276,,1,7080.232236384827,,1,192.3641189212781,,1,220.8131167765197,,1,0.0,,1,0.8750555480848772,,1,0.0,,1,0.8750555480848772,,1,0.0507224360080371,,1,0.0507224360080371,,1,0.1871259212493896,,1,10.434406252865756,,1,6.3424429412057215,,1,1.2374800930150975,,1,0.7771541099480063,,1,447.7808445891872,,1,1.5307991695404053,,1,,,technology,3.0,0.0,,,,,,,
5,,0.1243147934924449,,1,12.43147934924449,,1,7442.360812867623,,1,0.1243147934924449,,1,12.43147934924449,,1,7442.360812867623,,1,192.4594968593145,,1,248.69297330578868,,1,0.0,,1,0.9193556774666418,,1,0.0,,1,0.9193556774666418,,1,0.0532227363041286,,1,0.0532227363041286,,1,0.1965992450714111,,1,14.149313394427196,,1,8.507044635741808,,1,1.6463028935211232,,1,0.8064323960679864,,1,447.7808445891872,,1,1.5307991695404053,,1,,,technology,3.0,1.5,,,,,,,
5,,0.130204537040464,,1,13.020453704046403,,1,7794.962424857444,,1,0.130204537040464,,1,13.020453704046403,,1,7794.962424857444,,1,199.75258257243527,,1,254.3165880212713,,1,0.0,,1,0.927756082583736,,1,0.0,,1,0.927756082583736,,1,0.055624609800013,,1,0.055624609800013,,1,0.1983954906463623,,1,19.348655306785247,,1,11.641961653544886,,1,2.226970762746694,,1,0.8184595322475287,,1,447.7808445891872,,1,1.5307991695404053,,1,,,technology,3.0,3.0,,,,,,,
10,,0.2594444736739583,,1,25.944447367395835,,1,15532.177062285677,,1,0.2594444736739583,,1,25.944447367395835,,1,15532.177062285677,,1,391.3158774285283,,1,227.8015885615305,,1,0.0,,1,0.9436632679647812,,1,0.0,,1,0.9436632679647812,,1,0.1025843783674069,,1,0.1025843783674069,,1,0.4078476428985595,,1,12.470713031939994,,1,6.779316123151245,,1,0.6580965265421401,,1,0.6173991849057173,,1,465.5475328261715,,1,1.6443420028686524,,1,,,technology,0.0,0.0,,,,,,,
10,,0.3148065749933018,,1,31.480657499330185,,1,18846.543130891416,,1,0.3148065749933018,,1,31.480657499330185,,1,18846.543130891416,,1,463.3552337524776,,1,242.2689178727775,,1,0.0,,1,0.967007443615653,,1,0.0,,1,0.967007443615653,,1,0.1216132722569511,,1,0.1216132722569511,,1,0.4179368019104004,,1,19.239939639318948,,1,10.12461927153055,,1,0.969089968979664,,1,0.6634290116192703,,1,465.5475328261715,,1,1.6443420028686524,,1,,,technology,0.0,1.5,,,,,,,
10,,0.3426842242728775,,1,34.268422427287746,,1,20515.49594595433,,1,0.3426842242728775,,1,34.268422427287746,,1,20515.49594595433,,1,509.5600162335232,,1,236.08832968245596,,1,0.0,,1,0.9571915689839466,,1,0.0,,1,0.9571915689839466,,1,0.131073475490254,,1,0.131073475490254,,1,0.4136946201324463,,1,34.68236003033098,,1,19.29313570798437,,1,1.7797888236372517,,1,0.7106257560757315,,1,465.5475328261715,,1,1.6443420028686524,,1,,,technology,0.0,3.0,,,,,,,
