sample_index,RA,EIS,PRTP,growth,terminal_rho,terminal_beta_5yr,terminal_growth_5yr,terminal_multiplier,terminal_margin,terminal_admissible
6869,5.108146915242121,1.124972023112506,0.005777182275909323,0.011276680943231835,0.11108900536632083,0.9714459243514139,1.0576694609081883,0.9775154806335891,0.022484519366410938,True
6870,10.606528940920724,1.3643209219807704,0.0104563247110116,0.01828940197903919,0.26703462221471774,0.9488003509609584,1.094853772104343,0.9720403273850938,0.027959672614906173,True
6871,4.7376604001835645,0.9869944168655967,0.013547909623786773,0.011538729937278946,-0.013176957146024293,0.9340712117952198,1.0590405243400496,0.93336543826108,0.06663456173892002,True
6872,8.504770285336468,1.3141203123191407,0.01054249053971222,0.01292155209587637,0.2390346678111882,0.9483873326471262,1.0662991399787327,0.9630521523192828,0.03694784768071724,True
6873,12.099003823924363,0.7691368544778416,0.015187381778665486,0.022575217566586554,-0.30015873531231163,0.9263348912706632,1.1180888492851733,0.8958131486492215,0.10418685135077854,True
6874,10.996408261220452,1.0411494925358056,0.011411376494368339,0.01679400569721894,0.03952313556392617,0.9442305374162709,1.0868381794076525,0.9473433078833217,0.05265669211667834,True
6875,3.200295910559796,0.6823441375738194,0.008713235316192796,0.017452456084601893,-0.4655361494797263,0.9571864417559796,1.090361786271847,0.919403294092751,0.08059670590724899,True
6876,8.344927920842213,0.9951617087883389,0.015231884862156252,0.010473999500787944,-0.004861814084016647,0.926125607633509,1.0534785949271097,0.9258910598909821,0.07410894010901792,True
6877,12.515249782432623,0.9514004213760104,0.006688131572887068,0.0127175484218895,-0.05108214956821233,0.9670036714908181,1.065225802472412,0.9638874886452092,0.036112511354790766,True
6878,11.769395785021253,0.7973573642081683,0.0025233441060030057,0.015423909871481116,-0.25414280332516914,0.9874467916593481,1.079535496180667,0.9684267504858198,0.03157324951418017,True
6879,5.108497819981352,1.0385633985990608,0.011570972730287527,0.013281407558326677,0.0371314824411102,0.9434686077938946,1.068194579492914,0.9457825243196731,0.054217475680326865,True
6880,9.944953770465677,0.6958003473246621,0.002663415472509629,0.01641030801373979,-0.4371938787397551,0.9867536717718319,1.084789078623075,0.9522610052241477,0.047738994775852306,True
6881,10.00220073397258,0.9003940333905466,0.0041304615920647655,0.02199697777174383,-0.11062486302177588,0.9795175959372525,1.1149311710795113,0.9677995862804708,0.0322004137195292,True
6882,9.889227201923392,0.6967924871863169,0.009711501806888914,0.013296417271708431,-0.4351475057345269,0.9523765087929231,1.0682736975412823,0.9253958356284524,0.0746041643715476,True
6883,7.132003101064334,1.0088633620763583,0.003967164684100508,0.018210187699026027,0.008785493070257222,0.9803209374052346,1.0944279866609121,0.9810983765141041,0.018901623485895858,True
6884,5.685211660938096,0.6739918515775138,0.017958757738106883,0.019425300626836298,-0.48369746260202806,0.9133739792794046,1.1009739407576298,0.8718488257100446,0.12815117428995537,True
