delay_year,ra,eis,pref,delay_window_years_mean,delay_window_years_std,delay_window_years_count,delay_window_dwl_fraction_mean,delay_window_dwl_fraction_std,delay_window_dwl_fraction_count,dwl_pct_loss_mean,dwl_pct_loss_std,dwl_pct_loss_count,deadweight_per_ton_mean,deadweight_per_ton_std,deadweight_per_ton_count,carbon_price_optimal_mean,carbon_price_optimal_std,carbon_price_optimal_count,carbon_price_delayed_mean,carbon_price_delayed_std,carbon_price_delayed_count,m_optimal_period0_mean,m_optimal_period0_std,m_optimal_period0_count,m_delayed_period0_mean,m_delayed_period0_std,m_delayed_period0_count,mitigation_foregone_mean,mitigation_foregone_std,mitigation_foregone_count,utility_loss_mean,utility_loss_std,utility_loss_count,welfare_loss_mean,welfare_loss_std,welfare_loss_count,extra_cumulative_emissions_mean,extra_cumulative_emissions_std,extra_cumulative_emissions_count,reentry_price_increase_mean,reentry_price_increase_std,reentry_price_increase_count,reentry_price_pct_increase_mean,reentry_price_pct_increase_std,reentry_price_pct_increase_count,reentry_price_annualized_increase_mean,reentry_price_annualized_increase_std,reentry_price_annualized_increase_count,peak_catchup_mitigation_mean,peak_catchup_mitigation_std,peak_catchup_mitigation_count,ppm_at_reentry_mean,ppm_at_reentry_std,ppm_at_reentry_count,temperature_at_reentry_mean,temperature_at_reentry_std,temperature_at_reentry_count
5,15.0,0.55,0.001,5.0,,1,0.0167860312828317,,1,1.6786031282831733,,1,73.56276268771975,,1,115.76837951547404,,1,0.0,,1,0.4526984024871982,,1,0.0,,1,0.4526984024871982,,1,0.0171270362582127,,1,0.0171270362582127,,1,0.0968071303036883,,1,4.986743742792314,,1,4.134549243745553,,1,0.8135639853953602,,1,0.53071025319518,,1,447.78084386976184,,1,1.5307992167000002,,1
5,15.0,0.55,0.005,5.0,,1,0.0067627071428014,,1,0.6762707142801471,,1,41.265080628254346,,1,70.30791567990993,,1,0.0,,1,0.3251298529597757,,1,0.0,,1,0.3251298529597757,,1,0.0022056996364163,,1,0.0022056996364163,,1,0.0695272787979104,,1,2.2278819934325185,,1,2.998097592229431,,1,0.5925553464173339,,1,0.4021684264066656,,1,447.78084386976184,,1,1.5307992167000002,,1
5,15.0,0.55,0.024,5.0,,1,0.0006215501379482,,1,0.0621550137948275,,1,10.461082639278215,,1,19.70058202236916,,1,0.0,,1,0.1178741296636995,,1,0.0,,1,0.1178741296636995,,1,0.0001616081842257,,1,0.0001616081842257,,1,0.0252067517073033,,1,0.3282250955899002,,1,1.4736554370533572,,1,0.2930089637653399,,1,0.1997057434431922,,1,447.78084386976184,,1,1.5307992167000002,,1
5,15.0,0.9,0.005,5.0,,1,0.0480653338237904,,1,4.80653338237904,,1,148.21594447373516,,1,214.06085893577327,,1,0.0,,1,0.6433628830572454,,1,0.0,,1,0.6433628830572454,,1,0.0111374117483515,,1,0.0111374117483515,,1,0.1375797089419603,,1,12.44165334750346,,1,5.707456183258111,,1,1.1162894361844256,,1,0.6607066266224288,,1,447.78084386976184,,1,1.5307992167000002,,1
5,15.0,0.9,0.024,5.0,,1,0.0018425416286538,,1,0.1842541628653825,,1,19.144334569400115,,1,34.872196378090564,,1,0.0,,1,0.1909395954302993,,1,0.0,,1,0.1909395954302993,,1,0.0003849261024833,,1,0.0003849261024833,,1,0.0408314104785851,,1,0.6857853497798132,,1,1.8018987173223855,,1,0.3578100051263577,,1,0.2717792110439166,,1,447.78084386976184,,1,1.5307992167000002,,1
10,3.0,0.55,0.001,10.0,,1,0.0162229478336032,,1,1.6222947833603223,,1,148.01659317597898,,1,105.50819897635988,,1,0.0,,1,0.4269926860955479,,1,0.0,,1,0.4269926860955479,,1,0.0320958770596213,,1,0.0320958770596213,,1,0.1914413694330785,,1,7.355350995127353,,1,6.238722430681444,,1,0.6070196861402088,,1,0.4848364721381973,,1,465.54753150983714,,1,1.6443419239,,1
10,3.0,0.55,0.005,10.0,,1,0.0066971323018929,,1,0.6697132301892944,,1,84.43920172653387,,1,63.83381199274106,,1,0.0,,1,0.3034986075795863,,1,0.0,,1,0.3034986075795863,,1,0.0041940272175642,,1,0.0041940272175642,,1,0.1378330481806275,,1,3.7506652997604135,,1,5.100820749633506,,1,0.4987385920127263,,1,0.3682094349746136,,1,465.54753150983714,,1,1.6443419239,,1
10,3.0,0.55,0.024,10.0,,1,0.0006973440569496,,1,0.0697344056949653,,1,22.487350410729892,,1,18.75207133462024,,1,0.0,,1,0.1128726439670168,,1,0.0,,1,0.1128726439670168,,1,0.0003325767733954,,1,0.0003325767733954,,1,0.0535454284782339,,1,0.591400353265616,,1,2.4581524008202247,,1,0.2431377011250068,,1,0.187776179170383,,1,465.54753150983714,,1,1.6443419239,,1
10,3.0,0.9,0.005,10.0,,1,0.0475516693155521,,1,4.7551669315552125,,1,307.6824255482891,,1,198.77945961084532,,1,0.0,,1,0.6186644008243304,,1,0.0,,1,0.6186644008243304,,1,0.021677060843003,,1,0.021677060843003,,1,0.2731692033947444,,1,19.91060535722008,,1,9.487993880312034,,1,0.9105677963839208,,1,0.6041021595430793,,1,465.54753150983714,,1,1.6443419239,,1
10,3.0,0.9,0.024,10.0,,1,0.0019219606568424,,1,0.1921960656842402,,1,39.71782216613419,,1,32.54509817967131,,1,0.0,,1,0.1804969282033137,,1,0.0,,1,0.1804969282033137,,1,0.0007544848748226,,1,0.0007544848748226,,1,0.0837974371568792,,1,0.785346634283485,,1,1.985956017069881,,1,0.1968427986697163,,1,0.2503341874196583,,1,465.54753150983714,,1,1.6443419239,,1
10,7.0,0.55,0.001,10.0,,1,0.017266071305512,,1,1.726607130551202,,1,154.51694266664612,,1,108.90703393679912,,1,0.0,,1,0.4356770047923149,,1,0.0,,1,0.4356770047923149,,1,0.0341044949628717,,1,0.0341044949628717,,1,0.1948646780605192,,1,8.380547651347399,,1,6.996785953201727,,1,0.6785780803439945,,1,0.4895981665135526,,1,465.54753150983714,,1,1.6443419239,,1
10,7.0,0.55,0.005,10.0,,1,0.0070980115672912,,1,0.7098011567291297,,1,87.52560263260152,,1,65.8649463292269,,1,0.0,,1,0.3104012307449401,,1,0.0,,1,0.3104012307449401,,1,0.0044407703115973,,1,0.0044407703115973,,1,0.1404858042394283,,1,4.116631520339197,,1,5.513389844647253,,1,0.5381194578071291,,1,0.3710741959055925,,1,465.54753150983714,,1,1.6443419239,,1
10,7.0,0.55,0.024,10.0,,1,0.0007191814628793,,1,0.0719181462879338,,1,22.857159340869277,,1,19.063936494384738,,1,0.0,,1,0.1145234427997473,,1,0.0,,1,0.1145234427997473,,1,0.0003429242956332,,1,0.0003429242956332,,1,0.0541979220146737,,1,0.5816618462461918,,1,2.3972725309383205,,1,0.2371797354039584,,1,0.1884581258333333,,1,465.54753150983714,,1,1.6443419239,,1
10,7.0,0.9,0.005,10.0,,1,0.0500011114354624,,1,5.000111143546244,,1,319.44419368591883,,1,204.07622088614696,,1,0.0,,1,0.6273845568117368,,1,0.0,,1,0.6273845568117368,,1,0.0227577151448272,,1,0.0227577151448272,,1,0.2766894381352789,,1,21.97868050122736,,1,10.323403627565268,,1,0.9873009655507968,,1,0.6095341919265377,,1,465.54753150983714,,1,1.6443419239,,1
10,7.0,0.9,0.024,10.0,,1,0.0020086378646137,,1,0.2008637864613712,,1,40.71795425785871,,1,33.32183487632399,,1,0.0,,1,0.1840103472927164,,1,0.0,,1,0.1840103472927164,,1,0.000788322203693,,1,0.000788322203693,,1,0.0851661710313886,,1,0.8248519924120004,,1,2.060753268657664,,1,0.2041888848195006,,1,0.2517307472033223,,1,465.54753150983714,,1,1.6443419239,,1
10,15.0,0.55,0.001,10.0,,1,0.0194877908976024,,1,1.948779089760241,,1,168.1297295689255,,1,115.76837951547404,,1,0.0,,1,0.4526984024871982,,1,0.0,,1,0.4526984024871982,,1,0.0383640504361082,,1,0.0383640504361082,,1,0.2017100549658117,,1,10.428059424011993,,1,8.401504287008061,,1,0.8099805369176094,,1,0.4985026177407995,,1,465.54753150983714,,1,1.6443419239,,1
10,15.0,0.55,0.005,10.0,,1,0.0079784667205021,,1,0.797846672050216,,1,93.97907579013128,,1,70.30791567990993,,1,0.0,,1,0.3251298529597757,,1,0.0,,1,0.3251298529597757,,1,0.0049814482414136,,1,0.0049814482414136,,1,0.1463346636841875,,1,4.741150023766139,,1,6.116448374974441,,1,0.5954344524564226,,1,0.3777565634050998,,1,465.54753150983714,,1,1.6443419239,,1
10,15.0,0.55,0.024,10.0,,1,0.0007663752269807,,1,0.0766375226980767,,1,23.66454387309101,,1,19.70058202236916,,1,0.0,,1,0.1178741296636995,,1,0.0,,1,0.1178741296636995,,1,0.0003652786221575,,1,0.0003652786221575,,1,0.0555282899658378,,1,0.5786551479110535,,1,2.344331120068497,,1,0.2319960692374723,,1,0.1899231620751808,,1,465.54753150983714,,1,1.6443419239,,1
10,15.0,0.9,0.005,10.0,,1,0.0550266211748807,,1,5.50266211748807,,1,343.7227341243629,,1,214.06085893577327,,1,0.0,,1,0.6433628830572454,,1,0.0,,1,0.6433628830572454,,1,0.0249649305098724,,1,0.0249649305098724,,1,0.2832895367569192,,1,26.68141374491651,,1,12.175816396296636,,1,1.155598478404607,,1,0.6193383734166855,,1,465.54753150983714,,1,1.6443419239,,1
10,15.0,0.9,0.024,10.0,,1,0.0021983068282907,,1,0.2198306828290755,,1,42.949064284699965,,1,34.872196378090564,,1,0.0,,1,0.1909395954302993,,1,0.0,,1,0.1909395954302993,,1,0.0008623279972965,,1,0.0008623279972965,,1,0.0878555713109521,,1,1.092917700397514,,1,2.67011796936695,,1,0.263856734134027,,1,0.2548442963221589,,1,465.54753150983714,,1,1.6443419239,,1
15,3.0,0.55,0.001,15.0,,1,0.0185461014386087,,1,1.8546101438608795,,1,250.12454332201344,,1,105.50819897635988,,1,0.0,,1,0.4269926860955479,,1,0.0,,1,0.4269926860955479,,1,0.0531522705295302,,1,0.0531522705295302,,1,0.3003014321267439,,1,11.861582154325546,,1,9.62385936573523,,1,0.614445752550008,,1,0.4503980642489922,,1,481.5023071324044,,1,1.7588945192,,1
15,3.0,0.55,0.005,15.0,,1,0.0077253587795389,,1,0.7725358779538927,,1,141.1740167252682,,1,63.83381199274106,,1,0.0,,1,0.3034986075795863,,1,0.0,,1,0.3034986075795863,,1,0.006953581258795,,1,0.006953581258795,,1,0.2185200430122371,,1,6.033070983321309,,1,7.577652931312567,,1,0.488139227593054,,1,0.3415513082977118,,1,481.5023071324044,,1,1.7588945192,,1
15,3.0,0.55,0.024,15.0,,1,0.0008404470713331,,1,0.084044707133315,,1,37.40112016127291,,1,18.75207133462024,,1,0.0,,1,0.1128726439670168,,1,0.0,,1,0.1128726439670168,,1,0.0005526478653006,,1,0.0005526478653006,,1,0.0882718815982208,,1,0.9951532475905936,,1,3.379312890413175,,1,0.2218102177786951,,1,0.1760730201971729,,1,481.5023071324044,,1,1.7588945192,,1
