Year;Node;Utility;Consumption;Cost;CertainEquivalence;Utility;Consumption;Cost;CertainEquivalence
2060;19;11.42376010404114;1.6175192587232146;0.03726304526395639;0.7394331284505534;11.423748594973258;1.6175141366244083;0.03726557749925337;0.7394332055942903
2060;20;11.47471054008051;1.6599979524854003;0.013331478534826495;0.7391234857285787;11.47469702013949;1.659985630878951;0.01333907294432173;0.7391235662584726
2060;21;11.476021425685419;1.6599323385290334;0.013241744169063728;0.7391137045676767;11.47603273517342;1.6599422662488699;0.013235923613449475;0.7391136366212717
2060;22;11.431137405429762;1.6599568194700038;0.013095407211516951;0.7394458273437023;11.431130452416085;1.6599645918908148;0.013090489765515448;0.7394458910711774
2060;23;11.548645944697359;1.6545400049375292;0.015620997475566235;0.7385709607088923;11.548659891452916;1.6545456532219278;0.015617328827402086;0.7385708673419076
2060;24;11.530377389131521;1.6540811912904079;0.01573596502583397;0.7387042853684948;11.530382568587926;1.6540778039744894;0.015737806490276156;0.7387042420050753
2060;25;11.526084791423166;1.652928325886411;0.016229808413674107;0.7387340033709149;11.526079981561306;1.652929976915304;0.016229190738901507;0.738734041306852
2060;26;11.55578181607358;1.6742431255794386;0.004875140236201261;0.7385494300215044;11.555774107334859;1.6742314326878165;0.00488192788981158;0.738549468357997
2060;27;11.5591138278346;1.673984655649676;0.004945508922701929;0.7385246225038715;11.559117774027488;1.6739889919051478;0.0049428395965538195;0.7385246003307021
2060;28;11.582312232993981;1.673512225972269;0.005122509359137482;0.7383541805606192;11.582326438419601;1.6735175110811706;0.005119566027738099;0.7383540849582105
2060;29;11.575934824647398;1.671344083533128;0.005869420260873061;0.738397429806069;11.575933560336177;1.6713438046298577;0.00586977614508424;0.738397438617082
2060;30;11.606144319476181;1.6798685104011164;0.0017005763467273032;0.738190072696108;11.606138979436102;1.6798636796184268;0.0017035305208141043;0.7381901041632573
2100;31;17.459191181224437;2.9919073773345093;0.010854222307175943;0.7058617020170238;17.459179679684667;2.9919053854329767;0.010854268661722358;0.7058617536665003
2100;32;17.370153756801223;3.003439636366815;0.010854222307175943;0.7062846250221476;17.370151415693666;3.003438372579424;0.010854268661722358;0.7062846349028901
2100;33;17.457646760989807;3.0000674470919804;0.010978673336851971;0.7058754862072436;17.45765823966736;3.000068363932744;0.01097863928188725;0.7058754337813177
2100;34;17.43119084037216;2.979827434244877;0.01174438783313381;0.7059816510688497;17.431182683732455;2.9798349494638225;0.011744097024914952;0.7059816950580647
2100;35;17.419658644841014;2.975006831944096;0.011932229864716544;0.7060312342803526;17.419654836694527;2.975006432747954;0.011932245569482334;0.7060312516357111
2100;36;17.328920701585897;2.9721248409025205;0.012045743853606659;0.7064514179062069;17.328919811030616;2.972116290585183;0.012046082158532605;0.7064514150555371
2100;37;17.246538168424326;3.030795671266416;0.0050387459506009095;0.7068847684657542;17.24649094073917;3.03080412415657;0.005036075800713488;0.7068849969855197
2100;38;17.46684834703631;3.020392982819115;0.006048442330338274;0.7058493058384757;17.466876842768862;3.020402293610829;0.006046296285778832;0.7058491814200011
2100;39;17.53621619403519;3.0183944782856935;0.006117652779106178;0.7055272750505125;17.536223090307935;3.0183978393907283;0.006116497537414707;0.7055272459742578
2100;40;17.493377909909917;3.017944497457514;0.005913832094696386;0.7057246223640309;17.49335727421545;3.017942998127828;0.005913282341185567;0.7057247165243057
2100;41;17.42074138971015;3.00325882507798;0.006949805747763217;0.7060492226539604;17.420767794466535;3.0032839115159;0.006945458559607541;0.7060491203877345
