Year;Node;Utility;Consumption;Cost;CertainEquivalence;Utility;Consumption;Cost;CertainEquivalence
2060;24;11.530385437642153;1.654081147641598;0.015735896927526125;0.7387042261918088;11.530382568587926;1.6540778039744894;0.015737806490276156;0.7387042420050753
2060;25;11.526084613545905;1.6529259553163826;0.016231593071482715;0.7387340009478301;11.526079981561306;1.652929976915304;0.016229190738901507;0.738734041306852
2060;26;11.555788940068567;1.6742428681641872;0.004875312512441675;0.7385493774315411;11.555774107334859;1.6742314326878165;0.00488192788981158;0.738549468357997
2060;27;11.559114028988501;1.6739838495504182;0.004945938527294996;0.738524619780047;11.559117774027488;1.6739889919051478;0.0049428395965538195;0.7385246003307021
2060;28;11.582320328706436;1.6735145431234133;0.005121335229724948;0.7383541249981534;11.582326438419601;1.6735175110811706;0.005119566027738099;0.7383540849582105
2060;29;11.575928793056672;1.6713408748525664;0.005871551248441911;0.7383974689213963;11.575933560336177;1.6713438046298577;0.00586977614508424;0.738397438617082
2060;30;11.606142931143399;1.6798633194036818;0.00170375882736982;0.7381900747957395;11.606138979436102;1.6798636796184268;0.0017035305208141043;0.7381901041632573
2100;31;17.45919700631981;2.9919083864312026;0.010854198820860283;0.7058616758587525;17.459179679684667;2.9919053854329767;0.010854268661722358;0.7058617536665003
2100;32;17.370152453871942;3.0034402765509562;0.010854198820860283;0.7062846316099363;17.370151415693666;3.003438372579424;0.010854268661722358;0.7062846349028901
2100;33;17.4576509835352;3.000066078643557;0.010978724108674408;0.7058754655379058;17.45765823966736;3.000068363932744;0.01097863928188725;0.7058754337813177
2100;34;17.4311892548434;2.979831538527965;0.011744228996276732;0.7059816617806417;17.431182683732455;2.9798349494638225;0.011744097024914952;0.7059816950580647
2100;35;17.41966388535701;2.9750054320115056;0.011932284810072056;0.7060312088007178;17.419654836694527;2.975006432747954;0.011932245569482334;0.7060312516357111
2100;36;17.32893433248979;2.9721224754754623;0.012045837435641178;0.7064513523065841;17.328919811030616;2.972116290585183;0.012046082158532605;0.7064514150555371
2100;37;17.24652329208411;3.0307867151966423;0.00504152933140523;0.7068848311268744;17.24649094073917;3.03080412415657;0.005036075800713488;0.7068849969855197
2100;38;17.466862506881103;3.0203919505064305;0.006049283271056663;0.7058492394564576;17.466876842768862;3.020402293610829;0.006046296285778832;0.7058491814200011
2100;39;17.536225122090524;3.0183945764821667;0.006117449625565289;0.7055272339802713;17.536223090307935;3.0183978393907283;0.006116497537414707;0.7055272459742578
2100;40;17.493379474333334;3.0179404690260605;0.005914870267051397;0.7057246118870149;17.49335727421545;3.017942998127828;0.005913282341185567;0.7057247165243057
2100;41;17.420745099410226;3.0032609672529076;0.006950755494160207;0.7060492071659924;17.420767794466535;3.0032839115159;0.006945458559607541;0.7060491203877345
2100;42;17.57865885818209;3.000519158718647;0.007181461572018514;0.7053174665392538;17.578649801316217;3.000518633209962;0.0071803064922084155;0.7053175077440699
2100;43;17.524112258354112;2.9987582374860144;0.007055648341801351;0.7055672015655065;17.5241293270316;2.9987683696503287;0.007049310398580867;0.7055671310603936
2100;44;17.487520020730116;2.9904345033395794;0.007440552198211816;0.7057294134428068;17.487518104394827;2.9904214719415223;0.00744219735736278;0.7057294116916061
2100;45;17.459179077757057;2.9879370863848425;0.007604165892837406;0.705858524626611;17.45916200506922;2.9879303146786262;0.007606666661496383;0.7058585981814816
2100;46;17.3856517217483;2.985507571916218;0.007811204562133907;0.7061978920719734;17.38560547808768;2.985490953271188;0.007815949405673627;0.7061980937044344
2100;47;17.65160683806997;3.042320085230825;0.001580877412511674;0.7050165717823916;17.651612950648545;3.0423313691848604;0.0015778685239575228;0.7050165528281582
2100;48;17.631546891439704;3.041309871691429;0.001707246140722553;0.705107607570354;17.63151036900806;3.0412976685020534;0.0017108489641096546;0.7051077651393651
2100;49;17.619217572427072;3.040350315583035;0.0018072347373889993;0.7051633470958255;17.619205006369413;3.0403437813639114;0.0018084756664226579;0.7051633994861423
2100;50;17.597466068117615;3.0374868653594254;0.001960022034285149;0.7052608532914099;17.59749069780689;3.037482127730988;0.001960653005078869;0.7052607364209369
2100;51;17.566031787687262;3.0368956736929613;0.0019243549656634982;0.705404843874226;17.56599922304919;3.0368951248216147;0.001924622203298605;0.70540499324236
